link,image,name,pronouns
https://io.google/2022/speakers/husain-bengali/,https://io.google/2022/speakers/f69df65c-a7da-40ad-a8ce-cfa43802386e_240.webp,Husain Bengali,he / him
https://io.google/2022/speakers/ian-lake/,https://io.google/2022/speakers/23feb752-d9c9-4935-92c8-38974189d7b9_240.webp,Ian Lake,he / him
https://io.google/2022/speakers/ivan-nardini/,https://io.google/2022/speakers/f3eea26c-ba6f-4362-a1c2-a6e5451c0d09_240.webp,Ivan Nardini,he / him
https://io.google/2022/speakers/ivy-knight/,https://io.google/2022/speakers/c9d1537a-c798-446d-8538-4d86b5f22eaf_240.webp,Ivy Knight,she / her
https://io.google/2022/speakers/jaisen-mathai/,https://io.google/2022/speakers/97ffcdc4-0381-4aea-a847-06c8e513c936_240.webp,Jaisen Mathai,
https://io.google/2022/speakers/jake-archibald/,https://io.google/2022/speakers/d905efdb-c45d-49f2-a437-b74b18c6b81b_240.webp,Jake Archibald,he / him
https://io.google/2022/speakers/jamal-eason/,https://io.google/2022/speakers/2aa99846-75c6-4761-961f-c07c273cb7a5_240.webp,Jamal Eason,he / him
https://io.google/2022/speakers/james-daniels/,https://io.google/2022/speakers/c1c311c2-7c21-4e13-a08c-8cb0fd536c60_240.webp,James Daniels,
https://io.google/2022/speakers/james-heather/,https://io.google/2022/speakers/2e20a7a2-3ec8-49de-9589-64ac5b908635_240.webp,James Heather,
https://io.google/2022/speakers/jared-finder/,https://io.google/2022/speakers/3e2bc19b-9717-4a9f-a38b-c7c5d8422188_240.webp,Jared Finder,he / him
https://io.google/2022/speakers/jason-mayes/,https://io.google/2022/speakers/f6f7e469-7139-4d8f-8fa4-28332dedd2f5_240.webp,Jason Mayes,
https://io.google/2022/speakers/jay-civelli/,https://io.google/2022/speakers/00b898bd-d301-41c9-b2f1-9c06c5cab90a_240.webp,Jay Civelli,
https://io.google/2022/speakers/jecelyn-yeen/,https://io.google/2022/speakers/cd4d7c00-5f4b-485e-acd2-793cfa5c0488_240.webp,Jecelyn Yeen,she / her
https://io.google/2022/speakers/jeff-huleatt/,https://io.google/2022/speakers/57a1eb56-1a3a-4086-858d-678797bf44d9_240.webp,Jeff Huleatt,he / him
https://io.google/2022/speakers/jen-gennai/,https://io.google/2022/speakers/ea7b2f7e-0535-44e7-a358-aee2c3830f79_240.webp,Jen Gennai,
https://io.google/2022/speakers/jenine-durland/,https://io.google/2022/speakers/95a94f75-1082-4034-a577-054b4028390f_240.webp,Jenine Durland,she / her
https://io.google/2022/speakers/jennifer-chui/,https://io.google/2022/speakers/8ed010ac-5d77-48e6-98be-24e202715635_240.webp,Jennifer Chui,she / her
https://io.google/2022/speakers/jenny-cong/,https://io.google/2022/speakers/671b2232-2b82-4908-85c6-ccc8ed027c5e_240.webp,Jenny Cong,she / her
https://io.google/2022/speakers/jesse-williams/,https://io.google/2022/speakers/6ad03bd0-c4d0-48ff-a183-75b03a694d40_240.webp,Jesse Williams,she / her
https://io.google/2022/speakers/jessica-earley-cha/,https://io.google/2022/speakers/2b28975d-9bed-4c62-afdc-6b7ec77712e0_240.webp,Jessica Earley-Cha,she / her
https://io.google/2022/speakers/jessica-jong/,https://io.google/2022/speakers/db094709-d984-46a2-b525-fac9c0c423e9_240.webp,Jessica Jong,she / her
https://io.google/2022/speakers/jian-zhou/,https://io.google/2022/speakers/c64b77b5-1842-45be-ac63-436a20110d07_240.webp,Jian Zhou,she / her
https://io.google/2022/speakers/jing-ji/,https://io.google/2022/speakers/1046bbda-82b7-4930-8880-d1ce71a91062_240.webp,Jing Ji,he / him
